,accuracy,tn,fp,fn,tp,roc_auc,sensitivity,specificity,precision
26,0.8895847797393799,112658,3673,11542,9925,0.7153818607330322,0.46233754134252575,0.9684263008140565,0.729886748051184
27,0.8891202807426453,112233,4098,11181,10286,0.7219635248184204,0.47915405040294407,0.9647729324083865,0.7151001112347052
28,0.8888300061225891,112651,3680,11639,9828,0.713092565536499,0.45781897796618065,0.9683661276873748,0.7275688480900208
29,0.8883220553398132,112227,4104,11285,10182,0.7195154428482056,0.47430940513346065,0.9647213554426594,0.7127257454850903
30,0.8877052068710327,112624,3707,11767,9700,0.7099952101707458,0.4518563376345088,0.9681340313416028,0.7235026478705154
31,0.887531042098999,112264,4067,11431,10036,0.716273844242096,0.46750826850514743,0.9650394133979765,0.7116216407856485
32,0.8873931169509888,112634,3697,11820,9647,0.7088037133216858,0.4493874318721759,0.968219992951148,0.7229466426858513
33,0.8868633508682251,112299,4032,11558,9909,0.7134661674499512,0.46159221130106676,0.9653402790313845,0.71078114912847
34,0.8866601586341858,112658,3673,11945,9522,0.7059953808784485,0.4435645409232776,0.9684263008140565,0.7216369837059492
35,0.8864352107048035,112331,4000,11649,9818,0.7114842534065247,0.4573531466902688,0.9656153561819292,0.7105225068750904
36,0.8862102627754211,112657,3674,12006,9461,0.7045702934265137,0.4407229701402152,0.968417704653102,0.720289303387895
37,0.8859344720840454,112348,3983,11735,9732,0.7095541954040527,0.45334699771742676,0.965761490918156,0.709588042289464
38,0.8854337334632874,112642,3689,12098,9369,0.7023630738258362,0.43643732240182603,0.9682887622387841,0.717491193138306
39,0.8851652145385742,112361,3970,11854,9613,0.7068384289741516,0.44780360553407556,0.9658732410105647,0.7077228889052493
40,0.8848894834518433,112652,3679,12183,9284,0.7004262208938599,0.4324777565565752,0.9683747238483293,0.7161922394507444
41,0.8843016624450684,112362,3969,11974,9493,0.7040477395057678,0.4422136302231332,0.9658818371715192,0.7051701084534244
42,0.8840911984443665,112648,3683,12289,9178,0.6979401111602783,0.42753994503190945,0.9683403392045112,0.7136303553378431
43,0.8841129541397095,112413,3918,12051,9416,0.702473521232605,0.4386267293986118,0.9663202413801996,0.7061646917654117
44,0.8835396766662598,112676,3655,12393,9074,0.695638120174408,0.42269529976242604,0.9685810317112378,0.7128603975174798
45,0.8835904598236084,112434,3897,12144,9323,0.7003976106643677,0.43429449853263147,0.9665007607602445,0.7052193645990923
46,0.8830534815788269,112683,3648,12467,9000,0.6939446926116943,0.41924814832067825,0.9686412048379194,0.7115749525616698
47,0.8830099105834961,112428,3903,12218,9249,0.6986483335494995,0.4308473470908837,0.9664491837945174,0.7032390510948905
48,0.8827123641967773,112689,3642,12520,8947,0.692736029624939,0.41677924255834536,0.9686927818036465,0.7106998173008182
49,0.8828357458114624,112459,3872,12273,9194,0.697500467300415,0.42828527507336844,0.9667156647841074,0.703658349915812
50,0.8818705677986145,112676,3655,12623,8844,0.690281093120575,0.41198118041645315,0.9685810317112378,0.7075766061284903
51,0.8819358944892883,112449,3882,12387,9080,0.6948022246360779,0.42297479852797315,0.9666297031745622,0.7005091806819935
52,0.8814714550971985,112688,3643,12690,8777,0.6887721419334412,0.4088601108678437,0.968684185642692,0.706682769726248
53,0.8815947771072388,112483,3848,12468,8999,0.6930617690086365,0.41920156519308704,0.9669219726470158,0.7004748190238966
54,0.8814134001731873,112709,3622,12719,8748,0.6881869435310364,0.40750920016769926,0.9688647050227368,0.7071948261924009
55,0.8813698291778564,112500,3831,12516,8951,0.6920168399810791,0.4169655750687101,0.9670681073832427,0.7002816460647786
56,0.8810287714004517,112711,3620,12774,8693,0.6869145035743713,0.404947128150184,0.9688818973446459,0.7060017867294729
57,0.8810505270957947,112514,3817,12574,8893,0.690726101398468,0.4142637536684213,0.9671884536366059,0.6996852871754524
58,0.880854606628418,112737,3594,12824,8643,0.6858617067337036,0.4026179717706247,0.9691053975294633,0.7063005638636921
59,0.8805570602416992,112518,3813,12646,8821,0.6890662908554077,0.4109097684818559,0.967222838280424,0.6981953458920374
60,0.8802087306976318,112721,3610,12897,8570,0.68409264087677,0.39921740345646806,0.968967858954191,0.7036124794745484
61,0.8803030252456665,112545,3786,12708,8759,0.687738299369812,0.4080216145712023,0.9674549346261959,0.6982064567556796
62,0.8798168301582336,112725,3606,12955,8512,0.6827589273452759,0.39651558205617926,0.9690022435980091,0.7024261429278759
63,0.880165159702301,112576,3755,12758,8709,0.6867069005966187,0.405692458191643,0.967721415615786,0.6987323491655969
